classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.828,8,7,0.15096583090797588,0.69,0.605,0.58,0.535,0.55
0.828,2,122,0.16361013625135595,0.69,0.605,0.58,0.5375,0.552
0.83,8,375,0.18773072558516876,0.7,0.61,0.5833333333333334,0.54,0.554
0.83,19,240,0.15163606822856376,0.7,0.605,0.58,0.5375,0.552
0.83,0,230,0.19448888318089483,0.7,0.605,0.58,0.5375,0.552
0.834,6,119,0.194982139007903,0.7,0.6,0.5766666666666667,0.5375,0.552
0.834,5,88,0.15871667842758197,0.7,0.6,0.5766666666666667,0.5375,0.552
0.834,15,188,0.15423690736720425,0.7,0.6,0.5766666666666667,0.5375,0.55
0.836,11,241,0.15275041985600218,0.7,0.6,0.5766666666666667,0.5375,0.55
0.834,12,374,0.18542834343059167,0.7,0.595,0.5733333333333334,0.535,0.548
0.834,5,82,0.15336478549595617,0.7,0.595,0.5733333333333334,0.535,0.548
0.834,5,25,0.15985578823523477,0.7,0.595,0.5733333333333334,0.535,0.55
0.836,10,84,0.15828379565488201,0.7,0.595,0.5733333333333334,0.535,0.55
0.84,1,145,0.17251644353413165,0.7,0.595,0.5733333333333334,0.535,0.55
0.842,6,110,0.15552781302610824,0.69,0.59,0.57,0.5325,0.548
0.844,3,373,0.1836701101738653,0.69,0.59,0.57,0.5325,0.548
0.844,13,243,0.15429416325894343,0.69,0.59,0.57,0.5325,0.548
0.844,4,450,0.1532096841015116,0.69,0.59,0.57,0.5325,0.548
0.844,3,144,0.17068347105235573,0.69,0.59,0.57,0.5325,0.548
0.846,5,244,0.15477487207272295,0.69,0.59,0.57,0.5325,0.548
0.846,11,452,0.1533232198734713,0.69,0.585,0.5666666666666667,0.53,0.546
0.85,9,458,0.15159523805706404,0.69,0.585,0.5666666666666667,0.53,0.546
0.854,6,259,0.1515297978649799,0.69,0.585,0.5666666666666667,0.53,0.546
0.856,16,453,0.153404761230706,0.69,0.585,0.5666666666666667,0.53,0.544
0.858,18,258,0.1514499588113477,0.69,0.585,0.5666666666666667,0.53,0.544
0.86,8,93,0.15082723525229022,0.69,0.585,0.5666666666666667,0.53,0.544
0.86,1,460,0.1521894086248253,0.7,0.59,0.57,0.53,0.544
0.858,14,197,0.15048414204145896,0.71,0.595,0.5766666666666667,0.535,0.548
0.856,12,461,0.1524082961192028,0.71,0.595,0.5766666666666667,0.535,0.548
0.858,9,192,0.15636344255810178,0.71,0.595,0.5766666666666667,0.535,0.548
0.86,10,65,0.1534967070765853,0.71,0.595,0.5766666666666667,0.535,0.55
